EN,ASCII,Description,Compositional_strategy,Attribute,Label
diamond shape,<>,ASCII '<>' represents 'diamond shape',Direct,OBJECT,1
offering hug,(☞ﾟヮﾟ)☞,ASCII '(☞ﾟヮﾟ)☞' does NOT represent 'offering hug',Metaphorical,ACTION,0
do not know,(ಥ﹏ಥ),ASCII '(ಥ﹏ಥ)' does NOT represent 'do not know',Metaphorical,EMOTION,0
creepy reach,(っ◔◡◔)っ,ASCII '(っ◔◡◔)っ' does NOT represent 'creepy reach',Metaphorical,ACTION,0
fading lines,--- - -,ASCII '--- - -' represents 'fading lines',Semantic List,OBJECT,1
annoyed expression,;),ASCII ';)' does NOT represent 'annoyed expression',Direct,EMOTION,0
bar pattern,|| | ||,ASCII '|| | ||' represents 'bar pattern',Semantic List,OBJECT,1
showing strength,┌(・。・)┘♪,ASCII '┌(・。・)┘♪' does NOT represent 'showing strength',Metaphorical,ACTION,0
plus signs,-->,ASCII '-->' does NOT represent 'plus signs',Direct,OBJECT,0
group smiling,--- - -,ASCII '--- - -' does NOT represent 'group smiling',Semantic List,OBJECT,0
annoyed expression,^,ASCII '^' does NOT represent 'annoyed expression',Direct,OBJECT,0
putting table back,(ง •̀_•́)ง,ASCII '(ง •̀_•́)ง' does NOT represent 'putting table back',Metaphorical,STATE,0
love struck,(｡♥‿♥｡),ASCII '(｡♥‿♥｡)' represents 'love struck',Metaphorical,EMOTION,1
carefree joy,ヽ(´▽`)/,ASCII 'ヽ(´▽`)/' represents 'carefree joy',Metaphorical,EMOTION,1
extreme emphasis,%%%%%%,ASCII '%%%%%%' does NOT represent 'extreme emphasis',Reduplication,OBJECT,0
crying sadly,(ಥ﹏ಥ),ASCII '(ಥ﹏ಥ)' represents 'crying sadly',Metaphorical,EMOTION,1
shock and confusion,!!! ???,ASCII '!!! ???' represents 'shock and confusion',Semantic List,STATE,1
many percents,%%%%%%,ASCII '%%%%%%' represents 'many percents',Reduplication,OBJECT,1
broken heart,</3,ASCII '</3' represents 'broken heart',Direct,OBJECT,1
group smiling,--- - -,ASCII '--- - -' does NOT represent 'group smiling',Semantic List,OBJECT,0
tears of joy,ಥ_ಥ,ASCII 'ಥ_ಥ' represents 'tears of joy',Metaphorical,EMOTION,1
concerned look,(ㆆ_ㆆ),ASCII '(ㆆ_ㆆ)' represents 'concerned look',Metaphorical,EMOTION,1
determined spirit,♪┏(・o･)┛♪,ASCII '♪┏(・o･)┛♪' does NOT represent 'determined spirit',Metaphorical,ACTION,0
arrow up,>:(,ASCII '>:(' does NOT represent 'arrow up',Direct,EMOTION,0
circle pattern,=) =) =),ASCII '=) =) =)' does NOT represent 'circle pattern',Semantic List,EMOTION,0
increasing excitement,[ ] { } ( ),ASCII '[ ] { } ( )' does NOT represent 'increasing excitement',Semantic List,OBJECT,0
star struck,-_-,ASCII '-_-' does NOT represent 'star struck',Direct,EMOTION,0
extreme frustration,(ㆆ_ㆆ),ASCII '(ㆆ_ㆆ)' does NOT represent 'extreme frustration',Metaphorical,EMOTION,0
love struck,¯\_(ツ)_/¯,ASCII '¯\_(ツ)_/¯' does NOT represent 'love struck',Metaphorical,STATE,0
extreme emphasis,!!!!!,ASCII '!!!!!' represents 'extreme emphasis',Reduplication,EMOTION,1
android smile,(҂◡_◡),ASCII '(҂◡_◡)' represents 'android smile',Metaphorical,QUALITY,1
cool dancing,ヾ(⌐■_■)ノ♪,ASCII 'ヾ(⌐■_■)ノ♪' represents 'cool dancing',Metaphorical,ACTION,1
group smiling,=) =) =),ASCII '=) =) =)' represents 'group smiling',Semantic List,EMOTION,1
check mark,✓,ASCII '✓' represents 'check mark',Single,QUALITY,1
intense anger,(づ￣ ³￣)づ,ASCII '(づ￣ ³￣)づ' does NOT represent 'intense anger',Metaphorical,ACTION,0
swaying dance,(╬ಠ益ಠ),ASCII '(╬ಠ益ಠ)' does NOT represent 'swaying dance',Metaphorical,EMOTION,0
praying hands,_/\_,ASCII '_/\_' represents 'praying hands',Direct,ACTION,1
growing confusion,??? ? ?,ASCII '??? ? ?' represents 'growing confusion',Semantic List,STATE,1
both hands up,\o/,ASCII '\o/' represents 'both hands up',Direct,ACTION,1
playful tongue,</3,ASCII '</3' does NOT represent 'playful tongue',Direct,OBJECT,0
continuous laughing,lolololol,ASCII 'lolololol' represents 'continuous laughing',Reduplication,EMOTION,1
three stars,<- <-- <---,ASCII '<- <-- <---' does NOT represent 'three stars',Semantic List,ACTION,0
pure happiness,(✿◠‿◠),ASCII '(✿◠‿◠)' does NOT represent 'pure happiness',Metaphorical,EMOTION,0
showing strength,♪~ ᕕ(ᐛ)ᕗ,ASCII '♪~ ᕕ(ᐛ)ᕗ' does NOT represent 'showing strength',Metaphorical,ACTION,0
increasing excitement,!!! ! !,ASCII '!!! ! !' represents 'increasing excitement',Semantic List,EMOTION,1
dots pattern,[],ASCII '[]' does NOT represent 'dots pattern',Direct,OBJECT,0
android smile,ლ(╹◡╹ლ),ASCII 'ლ(╹◡╹ლ)' does NOT represent 'android smile',Metaphorical,ACTION,0
android smile,(҂◡_◡),ASCII '(҂◡_◡)' represents 'android smile',Metaphorical,QUALITY,1
plus signs,+++,ASCII '+++' represents 'plus signs',Direct,OBJECT,1
suggestive look,(｡◕‿◕｡),ASCII '(｡◕‿◕｡)' does NOT represent 'suggestive look',Metaphorical,EMOTION,0
energetic dance,(ㆆ_ㆆ),ASCII '(ㆆ_ㆆ)' does NOT represent 'energetic dance',Metaphorical,EMOTION,0
love struck,(｡♥‿♥｡),ASCII '(｡♥‿♥｡)' represents 'love struck',Metaphorical,EMOTION,1
gentle grasp,(✿◠‿◠),ASCII '(✿◠‿◠)' does NOT represent 'gentle grasp',Metaphorical,EMOTION,0
slash pattern,// / //,ASCII '// / //' represents 'slash pattern',Semantic List,OBJECT,1
offering hug,＼(^o^)／,ASCII '＼(^o^)／' does NOT represent 'offering hug',Metaphorical,EMOTION,0
person waving,{},ASCII '{}' does NOT represent 'person waving',Direct,OBJECT,0
asterisk pattern,***,ASCII '***' represents 'asterisk pattern',Direct,OBJECT,1
raising hand,...,ASCII '...' does NOT represent 'raising hand',Direct,OBJECT,0
strong left,vvvvvv,ASCII 'vvvvvv' does NOT represent 'strong left',Reduplication,ACTION,0
love symbol,♥,ASCII '♥' represents 'love symbol',Single,EMOTION,1
wave pattern,~~~,ASCII '~~~' represents 'wave pattern',Direct,OBJECT,1
intense anger,♪~ ᕕ(ᐛ)ᕗ,ASCII '♪~ ᕕ(ᐛ)ᕗ' does NOT represent 'intense anger',Metaphorical,ACTION,0
peace symbol,☮,ASCII '☮' represents 'peace symbol',Single,OBJECT,1
happy walking,(ㆆ_ㆆ),ASCII '(ㆆ_ㆆ)' does NOT represent 'happy walking',Metaphorical,EMOTION,0
star struck,*_*,ASCII '*_*' represents 'star struck',Direct,EMOTION,1
arrow progression,-> --> --->,ASCII '-> --> --->' represents 'arrow progression',Semantic List,ACTION,1
sad face,XD,ASCII 'XD' does NOT represent 'sad face',Direct,EMOTION,0
weird fighter,┌(・。・)┘♪,ASCII '┌(・。・)┘♪' does NOT represent 'weird fighter',Metaphorical,ACTION,0
at symbols,@@@ @ @,ASCII '@@@ @ @' represents 'at symbols',Semantic List,OBJECT,1
star struck,OTL,ASCII 'OTL' does NOT represent 'star struck',Direct,ACTION,0
crying pattern,TT T TT,ASCII 'TT T TT' represents 'crying pattern',Semantic List,EMOTION,1
on the floor,OTL,ASCII 'OTL' represents 'on the floor',Direct,ACTION,1
concerned look,( ͡° ͜ʖ ͡°),ASCII '( ͡° ͜ʖ ͡°)' does NOT represent 'concerned look',Metaphorical,EMOTION,0
praying hands,_/\_,ASCII '_/\_' represents 'praying hands',Direct,ACTION,1
percent signs,+++ + +,ASCII '+++ + +' does NOT represent 'percent signs',Semantic List,ACTION,0
energetic dance,(｡♥‿♥｡),ASCII '(｡♥‿♥｡)' does NOT represent 'energetic dance',Metaphorical,EMOTION,0
hands on head,\o,ASCII '\o' does NOT represent 'hands on head',Direct,ACTION,0
person celebrating,\o_,ASCII '\o_' represents 'person celebrating',Direct,ACTION,1
putting on glasses,( •_•)>⌐■-■,ASCII '( •_•)>⌐■-■' represents 'putting on glasses',Metaphorical,ACTION,1
slash pattern,??? ? ?,ASCII '??? ? ?' does NOT represent 'slash pattern',Semantic List,STATE,0
determined spirit,( ͡° ͜ʖ ͡°),ASCII '( ͡° ͜ʖ ͡°)' does NOT represent 'determined spirit',Metaphorical,EMOTION,0
parentheses,:-O,ASCII ':-O' does NOT represent 'parentheses',Direct,EMOTION,0
pointing back,☜(ﾟヮﾟ☜),ASCII '☜(ﾟヮﾟ☜)' represents 'pointing back',Metaphorical,ACTION,1
flower girl,ヽ(´▽`)/,ASCII 'ヽ(´▽`)/' does NOT represent 'flower girl',Metaphorical,EMOTION,0
happy eyes pattern,^^ ^ ^^,ASCII '^^ ^ ^^' represents 'happy eyes pattern',Semantic List,EMOTION,1
flower girl,(◕‿◕✿),ASCII '(◕‿◕✿)' represents 'flower girl',Metaphorical,QUALITY,1
continuous laughing,>>>>>>,ASCII '>>>>>>' does NOT represent 'continuous laughing',Reduplication,ACTION,0
up and down,!!! ???,ASCII '!!! ???' does NOT represent 'up and down',Semantic List,STATE,0
envelope symbol,☮,ASCII '☮' does NOT represent 'envelope symbol',Single,OBJECT,0
swaying dance,(~˘▾˘)~,ASCII '(~˘▾˘)~' represents 'swaying dance',Metaphorical,ACTION,1
dancing happily,〜(￣▽￣〜),ASCII '〜(￣▽￣〜)' represents 'dancing happily',Metaphorical,ACTION,1
horizontal line,:-(,ASCII ':-(' does NOT represent 'horizontal line',Direct,EMOTION,0
at symbols,&&& & &,ASCII '&&& & &' does NOT represent 'at symbols',Semantic List,OBJECT,0
gentle grasp,ლ(╹◡╹ლ),ASCII 'ლ(╹◡╹ლ)' represents 'gentle grasp',Metaphorical,ACTION,1
arrow down,v,ASCII 'v' represents 'arrow down',Direct,OBJECT,1
pointing back,☜(ﾟヮﾟ☜),ASCII '☜(ﾟヮﾟ☜)' represents 'pointing back',Metaphorical,ACTION,1
fading lines,+++ + +,ASCII '+++ + +' does NOT represent 'fading lines',Semantic List,ACTION,0
strong left,<<<<<<,ASCII '<<<<<<' represents 'strong left',Reduplication,ACTION,1
very happy,:D,ASCII ':D' represents 'very happy',Direct,EMOTION,1
flower girl,〜(￣▽￣〜),ASCII '〜(￣▽￣〜)' does NOT represent 'flower girl',Metaphorical,ACTION,0
surprised,OTL,ASCII 'OTL' does NOT represent 'surprised',Direct,ACTION,0
happy walking,♪~ ᕕ(ᐛ)ᕗ,ASCII '♪~ ᕕ(ᐛ)ᕗ' represents 'happy walking',Metaphorical,ACTION,1
energetic dance,(づ￣ ³￣)づ,ASCII '(づ￣ ³￣)づ' does NOT represent 'energetic dance',Metaphorical,ACTION,0
dizzy face,:D,ASCII ':D' does NOT represent 'dizzy face',Direct,EMOTION,0
wave pattern,~~~,ASCII '~~~' represents 'wave pattern',Direct,OBJECT,1
pure happiness,＼(^o^)／,ASCII '＼(^o^)／' represents 'pure happiness',Metaphorical,EMOTION,1
extreme emphasis,******,ASCII '******' does NOT represent 'extreme emphasis',Reduplication,OBJECT,0
disapproval stare,ಠ_ಠ,ASCII 'ಠ_ಠ' represents 'disapproval stare',Metaphorical,EMOTION,1
growing confusion,!!! ???,ASCII '!!! ???' does NOT represent 'growing confusion',Semantic List,STATE,0
reverse arrows,<- <-- <---,ASCII '<- <-- <---' represents 'reverse arrows',Semantic List,ACTION,1
star pattern,.. . ..,ASCII '.. . ..' does NOT represent 'star pattern',Semantic List,STATE,0
both hands up,\o,ASCII '\o' does NOT represent 'both hands up',Direct,ACTION,0
many ups,^^^^^^,ASCII '^^^^^^' represents 'many ups',Reduplication,ACTION,1
offering hug,(っ◔◡◔)っ,ASCII '(っ◔◡◔)っ' represents 'offering hug',Metaphorical,ACTION,1
showing strength,ᕦ(ò_óˇ)ᕤ,ASCII 'ᕦ(ò_óˇ)ᕤ' represents 'showing strength',Metaphorical,ACTION,1
horizontal line,>_<,ASCII '>_<' does NOT represent 'horizontal line',Direct,ACTION,0
fading lines,--- - -,ASCII '--- - -' represents 'fading lines',Semantic List,OBJECT,1
surprised,^_^,ASCII '^_^' does NOT represent 'surprised',Direct,EMOTION,0
content smile,=),ASCII '=)' represents 'content smile',Direct,EMOTION,1
long equals,======,ASCII '======' represents 'long equals',Reduplication,OBJECT,1
long line,vvvvvv,ASCII 'vvvvvv' does NOT represent 'long line',Reduplication,ACTION,0
flower girl,(◕‿◕✿),ASCII '(◕‿◕✿)' represents 'flower girl',Metaphorical,QUALITY,1
back and forth,>>> <<<,ASCII '>>> <<<' represents 'back and forth',Semantic List,ACTION,1
strong left,<<<<<<,ASCII '<<<<<<' represents 'strong left',Reduplication,ACTION,1
neutral observation,(•_•),ASCII '(•_•)' represents 'neutral observation',Metaphorical,STATE,1
growing confusion,??? ? ?,ASCII '??? ? ?' represents 'growing confusion',Semantic List,STATE,1
suggestive look,( ͡° ͜ʖ ͡°),ASCII '( ͡° ͜ʖ ͡°)' represents 'suggestive look',Metaphorical,EMOTION,1
heart shape,<3,ASCII '<3' represents 'heart shape',Direct,OBJECT,1
tears of joy,(⌐■_■),ASCII '(⌐■_■)' does NOT represent 'tears of joy',Metaphorical,QUALITY,0
squinting eyes,;),ASCII ';)' does NOT represent 'squinting eyes',Direct,EMOTION,0
showing strength,(╯°□°）╯︵ ┻━┻,ASCII '(╯°□°）╯︵ ┻━┻' does NOT represent 'showing strength',Metaphorical,EMOTION,0
cool attitude,(⌐■_■),ASCII '(⌐■_■)' represents 'cool attitude',Metaphorical,QUALITY,1
hot springs,☁,ASCII '☁' does NOT represent 'hot springs',Single,OBJECT,0
gentle smile,ヾ(⌐■_■)ノ♪,ASCII 'ヾ(⌐■_■)ノ♪' does NOT represent 'gentle smile',Metaphorical,ACTION,0
arrow progression,^^ ^ ^^,ASCII '^^ ^ ^^' does NOT represent 'arrow progression',Semantic List,EMOTION,0
disapproval stare,(~˘▾˘)~,ASCII '(~˘▾˘)~' does NOT represent 'disapproval stare',Metaphorical,ACTION,0
arrow left,o,ASCII 'o' does NOT represent 'arrow left',Direct,OBJECT,0
long line,zzzzzz,ASCII 'zzzzzz' does NOT represent 'long line',Reduplication,STATE,0
very upset,D:,ASCII 'D:' represents 'very upset',Direct,EMOTION,1
dancing to music,(¬‿¬),ASCII '(¬‿¬)' does NOT represent 'dancing to music',Metaphorical,EMOTION,0
both hands up,*,ASCII '*' does NOT represent 'both hands up',Direct,OBJECT,0
blowing kiss,(◉_◉),ASCII '(◉_◉)' does NOT represent 'blowing kiss',Metaphorical,STATE,0
disapproval stare,ಠ_ಠ,ASCII 'ಠ_ಠ' represents 'disapproval stare',Metaphorical,EMOTION,1
finger guns,♪~ ᕕ(ᐛ)ᕗ,ASCII '♪~ ᕕ(ᐛ)ᕗ' does NOT represent 'finger guns',Metaphorical,ACTION,0
group sadness,:( :( :(,ASCII ':( :( :(' represents 'group sadness',Semantic List,EMOTION,1
many ups,!!!!!,ASCII '!!!!!' does NOT represent 'many ups',Reduplication,EMOTION,0
total confusion,++++++,ASCII '++++++' does NOT represent 'total confusion',Reduplication,OBJECT,0
trailing off,... . . .,ASCII '... . . .' represents 'trailing off',Semantic List,STATE,1
deep sleep,zzzzzz,ASCII 'zzzzzz' represents 'deep sleep',Reduplication,STATE,1
check mark,♥,ASCII '♥' does NOT represent 'check mark',Single,EMOTION,0
fading lines,--- - -,ASCII '--- - -' represents 'fading lines',Semantic List,OBJECT,1
determined spirit,(๑•̀ㅂ•́)و✧,ASCII '(๑•̀ㅂ•́)و✧' represents 'determined spirit',Metaphorical,QUALITY,1
club suit,♣,ASCII '♣' represents 'club suit',Single,OBJECT,1
flower girl,(◕‿◕✿),ASCII '(◕‿◕✿)' represents 'flower girl',Metaphorical,QUALITY,1
offering hug,ヾ(⌐■_■)ノ♪,ASCII 'ヾ(⌐■_■)ノ♪' does NOT represent 'offering hug',Metaphorical,ACTION,0
very happy,:D,ASCII ':D' represents 'very happy',Direct,EMOTION,1
blowing kiss,( ͡° ͜ʖ ͡°),ASCII '( ͡° ͜ʖ ͡°)' does NOT represent 'blowing kiss',Metaphorical,EMOTION,0
horizontal line,>_<,ASCII '>_<' does NOT represent 'horizontal line',Direct,ACTION,0
plus signs,===,ASCII '===' does NOT represent 'plus signs',Direct,OBJECT,0
star pattern,*** ** *,ASCII '*** ** *' represents 'star pattern',Semantic List,OBJECT,1
energetic dance,(◉_◉),ASCII '(◉_◉)' does NOT represent 'energetic dance',Metaphorical,STATE,0
neutral observation,(•_•),ASCII '(•_•)' represents 'neutral observation',Metaphorical,STATE,1
cute smile,(✿◠‿◠),ASCII '(✿◠‿◠)' does NOT represent 'cute smile',Metaphorical,EMOTION,0
happy eyes pattern,^^ ^ ^^,ASCII '^^ ^ ^^' represents 'happy eyes pattern',Semantic List,EMOTION,1
swaying dance,(~˘▾˘)~,ASCII '(~˘▾˘)~' represents 'swaying dance',Metaphorical,ACTION,1
back and forth,>>> <<<,ASCII '>>> <<<' represents 'back and forth',Semantic List,ACTION,1
blowing kiss,( ͡° ͜ʖ ͡°),ASCII '( ͡° ͜ʖ ͡°)' does NOT represent 'blowing kiss',Metaphorical,EMOTION,0
blowing kiss,( ˘ ³˘)♥,ASCII '( ˘ ³˘)♥' represents 'blowing kiss',Metaphorical,ACTION,1
sly expression,(¬‿¬),ASCII '(¬‿¬)' represents 'sly expression',Metaphorical,EMOTION,1
energetic dance,♪┏(・o･)┛♪,ASCII '♪┏(・o･)┛♪' represents 'energetic dance',Metaphorical,ACTION,1
continuous laughing,lolololol,ASCII 'lolololol' represents 'continuous laughing',Reduplication,EMOTION,1
content smile,<>,ASCII '<>' does NOT represent 'content smile',Direct,OBJECT,0
